,list
764,398.2
765,325.7
766,191.7
767,17.8
768,9.1
769,0.9
770,28.3
771,109.8
772,214.5
773,597.7
774,465.1
775,296.1
776,150.1
777,183.7
778,131.7
779,155.5
780,3.0
781,6.9
782,67.7
783,167.4
784,95.2
785,496.2
786,601.9
787,202.1
788,293.2
789,392.3
790,245.4
791,50.5
792,14.3
793,0.1
794,24.6
795,70.1
796,244.9
797,541.7
798,741.4
799,508.4
800,145.8
801,172.7
802,74.0
803,31.1
804,7.3
805,30.5
806,89.2
807,133.3
808,90.0
809,696.4
810,1308.9
811,380.7
812,325.4
813,178.9
814,119.4
815,32.7
816,2.7
817,6.4
818,19.4
819,117.2
820,227.4
821,550.5
822,818.8
823,284.8
824,216.4
825,235.6
826,119.4
827,66.3
828,12.9
829,17.6
830,25.8
831,132.7
832,289.1
833,535.3
834,558.1
835,554.8
836,212.5
837,278.3
838,80.5
839,5.7
840,31.6
841,18.5
842,20.0
843,113.0
844,317.5
845,889.6
846,648.6
847,385.2
848,331.2
849,220.9
850,38.3
851,62.3
852,2.6
853,7.5
854,2.5
855,87.5
856,436.0
857,401.8
858,714.4
859,294.9
860,185.7
861,351.5
862,140.5
863,114.3
864,0.0
865,0.3
866,12.3
867,131.5
868,119.9
869,617.0
870,583.5
871,487.5
872,61.3
873,260.8
874,84.5
875,53.8
876,1.6
877,5.4
878,16.0
879,128.0
880,221.5
881,266.9
882,1004.2
883,533.6
884,383.6
885,142.1
886,61.0
887,3.6
888,5.2
889,21.4
890,63.4
891,123.8
892,162.2
893,864.4
894,531.3
895,675.9
896,457.7
897,368.9
898,204.3
899,19.9
900,0.1
901,1.5
902,21.0
903,134.5
904,75.8
905,196.8
906,641.5
907,342.6
908,116.2
909,221.3
910,286.7
911,30.8
912,1.1
913,15.7
914,28.3
915,102.3
916,306.4
917,599.6
918,753.3
919,234.2
920,201.3
921,437.0
922,361.7
923,6.7
924,3.3
925,14.7
926,31.4
927,73.9
928,396.8
929,758.1
930,686.7
931,516.8
932,119.4
933,171.0
934,365.6
935,39.0
936,2.4
937,30.0
938,11.7
939,42.0
940,127.7
941,582.9
942,662.2
943,383.7
944,211.7
945,163.8
946,261.7
947,23.3
948,0.0
949,0.9
950,20.8
951,114.8
952,105.3
953,745.9
954,754.0
955,438.1
956,139.5
957,282.3
958,162.3
959,39.5
960,7.0
961,6.8
962,28.5
963,75.9
964,166.3
965,912.4
966,489.8
967,495.6
968,376.6
969,265.0
970,138.6
971,43.3
972,0.7
973,0.1
974,21.9
975,60.4
976,148.2
977,612.2
978,511.5
979,495.0
980,70.6
981,164.4
982,127.5
983,10.8
984,0.2
985,1.5
986,0.9
987,13.1
988,76.0
989,322.8
990,583.2
991,579.9
992,421.1
993,136.2
994,116.5
995,69.1
996,36.8
997,60.0
998,95.3
999,162.1
1000,84.6
1001,842.6
1002,653.6
1003,284.4
1004,171.1
1005,286.0
1006,67.7
1007,18.0
1008,61.2
1009,6.1
1010,29.3
1011,66.6
1012,254.2
1013,828.7
1014,388.9
1015,315.3
1016,117.6
1017,204.0
1018,74.9
1019,44.0
1020,5.6
1021,18.7
1022,11.2
1023,63.1
1024,126.7
1025,597.9
1026,324.8
1027,340.3
1028,235.4
1029,165.5
1030,194.7
1031,9.5
1032,0.6
1033,0.8
1034,4.3
1035,57.2
1036,108.3
1037,572.6
1038,221.0
1039,396.6
1040,157.0
1041,272.1
1042,216.0
1043,131.1
1044,0.8
1045,17.5
1046,38.1
1047,177.6
1048,157.2
1049,511.3
1050,502.8
1051,379.8
1052,451.7
1053,68.5
1054,67.0
1055,31.1
1056,10.3
1057,0.0
1058,30.1
1059,141.5
1060,169.4
1061,657.5
1062,450.7
1063,285.5
1064,271.1
1065,308.0
1066,92.9
1067,5.6
1068,14.9
1069,4.8
1070,18.0
1071,41.8
1072,488.5
1073,528.6
1074,635.4
1075,370.8
1076,103.3
1077,323.2
1078,158.8
1079,5.2
1080,10.9
1081,4.4
1082,33.2
1083,97.0
1084,113.4
1085,1096.1
1086,905.5
1087,465.5
1088,48.5
1089,307.8
1090,99.9
1091,2.3
1092,2.4
1093,0.9
1094,0.1
1095,43.0
1096,218.4
1097,819.3
1098,767.8
1099,508.0
1100,297.5
1101,290.7
1102,287.6
1103,3.7
1104,0.0
1105,17.8
1106,20.1
1107,66.5
1108,159.0
1109,657.1
1110,776.1
1111,301.9
1112,88.0
1113,431.2
1114,153.8
1115,46.2
1116,24.3
1117,27.1
1118,18.1
1119,154.5
1120,141.3
1121,845.0
1122,955.5
1123,479.9
1124,212.6
1125,428.4
1126,117.6
1127,6.5
1128,10.3
1129,6.5
1130,37.3
1131,134.9
1132,355.6
1133,493.4
1134,702.5
1135,457.3
1136,280.0
1137,198.3
1138,182.6
